###########################################################################
# This is Table B1 from Krajnovic et al. 2020, A&A, 
# "Formation channels of slowly rotating early-type galaxies"
############################################################################
# Table Title: Metalicity and Age gradients of the ATLAS3D Sample
#
# Note: Columns (6) and (7), providing the alpha elements gradients and errors
# do not appear in the paper.
#
# Note: galaxies NGC4268 and PGC170172 do not have measured values. 
#
#Galaxy     D[Z/H]   er_D[Z/H]   DAge     er_DAge    Dalpha  er_Dalpah  HST
# (1)         (2)      (3)       (4)       (5)        (6)      (7)      (8)
############################################################################
PGC016060   -0.250     0.080    -0.373     0.021     0.152     0.022     0   
PGC028887   -0.586     0.065    -0.003     0.080     0.258     0.039     1   
PGC029321    0.183     0.134     0.198     0.076    -0.303     0.058     0   
PGC035754   -0.820     0.055    -0.020     0.071     0.309     0.035     0   
PGC042549   -0.181     0.070    -0.349     0.114     0.064     0.035     0   
PGC044433   -0.443     0.075     0.020     0.092     0.179     0.020     0   
PGC050395   -0.200     0.150    -0.090     0.165    -0.140     0.028     1   
PGC051753   -0.321     0.033     0.033     0.055    -0.126     0.049     0   
PGC054452   -0.076     0.094    -0.195     0.134     0.024     0.039     0   
PGC056772   -0.316     0.141     0.212     0.083    -0.044     0.074     0   
PGC058114    0.019     0.100     0.300     0.104    -0.167     0.032     0   
PGC061468   -0.312     0.154     0.630     0.159     0.117     0.035     0   
PGC071531   -0.506     0.322    -0.386     0.679     0.154     0.038     0   
PGC170172    0.000     0.000     0.000     0.000     0.000     0.000     0    
UGC03960    -0.668     0.113     0.268     0.111    -0.197     0.146     1   
UGC04551    -0.248     0.055     0.032     0.068     0.277     0.033     1   
UGC05408     0.458     0.150    -0.158     0.181    -0.702     0.036     1   
UGC06062    -0.321     0.033     0.178     0.055    -0.024     0.031     1   
UGC06176     0.109     0.132     0.129     0.167    -0.114     0.030     0   
UGC08876    -0.455     0.043     0.296     0.077     0.114     0.057     0   
UGC09519    -0.783     0.073     0.701     0.138     0.028     0.014     0   
